"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5QtQFSdyZEl0w4iDxAyv76","Namo Namo","spotify:artist:7HCqGPJcQTyGJ2yqntbuyr","Amit Trivedi","spotify:album:7lF34sP6HtRAL7VEMvYHff","Kedarnath","spotify:artist:7HCqGPJcQTyGJ2yqntbuyr","Amit Trivedi","2018-11-27","https://i.scdn.co/image/ab67616d0000b2738c72151621d5c60ed768d010","1","1","322250","https://p.scdn.co/mp3-preview/22d3aa8a02d21594a8750efb78c84608a9b699e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","desi pop,filmi,modern bollywood","0.648","0.711","4","-6.216","1","0.0304","0.436","0","0.121","0.33","119.935","4","","Zee Music Company","C 2018 Zee Music Company, P 2018 Zee Music Company"
"spotify:track:5KCvFKy39WXTnsiOoIqEla","Hanuman Chalisa","spotify:artist:1dVygo6tRFXC8CSWURQJq2","Sonu Nigam","spotify:album:6XSTRDj8BVPa3XcjrXV1gZ","Haidakhandi - Aarti & Bhajans","spotify:artist:1dVygo6tRFXC8CSWURQJq2","Sonu Nigam","2016-04-13","https://i.scdn.co/image/ab67616d0000b273c466d994567777285d914071","1","11","483591","https://p.scdn.co/mp3-preview/4178dac29c1d04c50d739cb785672e1feaa1de84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","desi pop,filmi,modern bollywood","0.47","0.405","11","-12.584","0","0.0598","0.701","0","0.109","0.426","104.704","4","","Haidakhan Samaj","C (C) 2016 OKListen Media"
"spotify:track:6noNPbN7CDcTxohDskSRTB","Achutum Kesevam","spotify:artist:0LeihSBwZC2MrBVvjzEhy6","Shivali","spotify:album:67kUmyo7vKrnf7HKTorHH8","The Bhajan Project","spotify:artist:0LeihSBwZC2MrBVvjzEhy6","Shivali","2010-11-18","https://i.scdn.co/image/ab67616d0000b2731a41ab1dd6f87f33753e8229","1","3","194533","https://p.scdn.co/mp3-preview/c0eed9a4bdcc639822693f916c9bfd8de31abb9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","","0.732","0.716","2","-5.604","1","0.0407","0.424","0","0.301","0.599","89.947","4","","Sony Music Entertainment","P (P) 2010 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:1KsszCPKYJAJ6EAKIpLo8s","Sri Ramchandra Kripalu Bhajman","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:1rql1oUF5qMcpDrm756LE1","Shree Ram Bhajan","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","2016-09-29","https://i.scdn.co/image/ab67616d0000b273f84303a733b311444d4eba05","1","9","318786","https://p.scdn.co/mp3-preview/10462b4de805ef665b1e180a23edc7c06e5fffe0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","bhajan,classic bollywood,filmi,ghazal","0.64","0.492","6","-9.308","1","0.039","0.543","0.00000132","0.0953","0.796","149.901","1","","Myuzic Entertainment","C (C) 2016 Myuzic Entertainment"
"spotify:track:0rqxKvWQMF2tlfBrrpxM0l","Govind Bolo Hari Gopal Bolo","spotify:artist:3ZFpN9rFHLxElJpqyABkMt","Kishore Manraja","spotify:album:7jLlDAVOA0QAoN9lBvNE38","Radhey Govind (Shree Krishna Bhajans)","spotify:artist:3ZFpN9rFHLxElJpqyABkMt","Kishore Manraja","2014-07-10","https://i.scdn.co/image/ab67616d0000b273f61c1a0f9718398e1fa4a90e","1","1","343745","https://p.scdn.co/mp3-preview/04f9820561a8e021354fd743f9727709f4ecc0a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","gujarati garba,mantra","0.401","0.651","3","-8.292","1","0.0609","0.76","0.0000197","0.0473","0.496","84.439","4","","Video Palace","C Video Palace, P Video Palace"
"spotify:track:44BrUlJvqtOHG2xXcOoChc","Jai Krishna Kunj Vihari","spotify:artist:1HGMG8RHvcu1mfdM9MeTek","Sadhana Sargam","spotify:album:61TNhP9SvxKqXikDtQmNFT","Sri Sathya Sai Namsankirtan","spotify:artist:70B80Lwx2sxti0M1Ng9e8K","Udit Narayan","2012-05-07","https://i.scdn.co/image/ab67616d0000b2731364cb82818923e9514880ec","1","7","200881","https://p.scdn.co/mp3-preview/33279253ae2bfefc3b0c14350d51555032aea27a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","classic bollywood,filmi,modern bollywood,tamil pop","0.436","0.587","4","-7.454","1","0.0604","0.461","0","0.11","0.869","111.938","4","","Times Music","C © 2012 Sri Sathya Sai Book And Publications Trust India, P ℗ 2012 Times Music"
"spotify:track:2I1nFkTHlhmN89nzYpqAo1","Mithe Ras Se","spotify:artist:6nAVJkZZ55jorZmO5bpezv","Falguni Pathak","spotify:album:43R969k1l511yPW4NFGo1y","Arpan (Vallabh Ke Charnarvind )","spotify:artist:6nAVJkZZ55jorZmO5bpezv","Falguni Pathak","2001-01-01","https://i.scdn.co/image/ab67616d0000b273cba238591410425c4421ed2b","1","8","511413","","false","33","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","classic bollywood,desi pop,filmi,modern bollywood","0.46","0.337","0","-13.53","1","0.114","0.59","0","0.122","0.752","86.526","4","","Universal Music India Pvt Ltd.","C © 2001 Universal Music India Pvt. Ltd., P ℗ 2001 Universal Music India Pvt. Ltd."
"spotify:track:2ifsTVDxbc3BGBPEwrOez5","Shivoham","spotify:artist:0yl2Dss8OxbolyTnWFqKbi","Singers of the Art of Living","spotify:album:1YIp5NKAM9vdbt2uB4uai3","Sacred Chants of Shiva","spotify:artist:27LEEAsh323Y6mEx4B1Z9C","Craig Pruess and the Singers of the Art of Living","2000-01-01","https://i.scdn.co/image/ab67616d0000b27306cb812fb8315987197de35c","1","3","389693","https://p.scdn.co/mp3-preview/fe2f4607fd950a4024774d53d0e80b3d8ea235f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","kirtan","0.172","0.24","5","-15.917","1","0.038","0.933","0.00000572","0.307","0.153","114.542","5","","Heaven on Earth Music Limited","C 2000 Heaven on Earth Music Limited, P 2000 Heaven on Earth Music Limited"
"spotify:track:0IurbCfDTDDKAVyBR9Jy7x","Jag Mein Sundar Hai Do Naam","spotify:artist:0LeihSBwZC2MrBVvjzEhy6","Shivali","spotify:album:67kUmyo7vKrnf7HKTorHH8","The Bhajan Project","spotify:artist:0LeihSBwZC2MrBVvjzEhy6","Shivali","2010-11-18","https://i.scdn.co/image/ab67616d0000b2731a41ab1dd6f87f33753e8229","1","2","223506","https://p.scdn.co/mp3-preview/7d2c266968cad355e971d7bb0d5efcb54421c67e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","","0.747","0.884","7","-5.083","1","0.0411","0.63","0.00000756","0.104","0.863","141.988","4","","Sony Music Entertainment","P (P) 2010 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:3DVQnrqH68yv3tVA85Ufap","Hey Ram Hey Ram","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:7xZ3tAeOVXbHeVxRgsaJaO","Diwali Essentials","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","2018-10-31","https://i.scdn.co/image/ab67616d0000b273af1573753c70a66b500c6e2d","1","6","1748845","https://p.scdn.co/mp3-preview/bc1ffc7ba3242aec27affb6217518017faa7ffbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:31x7qx7oop27jv7dwdojtshrcfqu","2021-12-13T10:42:03Z","bhajan,classic bollywood,filmi,ghazal","0.609","0.548","4","-10.364","1","0.0282","0.552","0","0.0722","0.714","90.009","4","","Times Music","C © 2018 Nupur Audio, P ℗ 2018 Nupur Audio"
